Processed 359000 numbers: avg=2565571.07, median=902121.10, uniques=346299
Processed 360000 numbers: avg=2566523.34, median=902121.10, uniques=347221
Processed 361000 numbers: avg=2568542.44, median=907546.90, uniques=348144
Processed 362000 numbers: avg=2570352.66, median=909449.40, uniques=349071
Processed 363000 numbers: avg=2581962.11, median=915207.80, uniques=350005
Processed 364000 numbers: avg=2584866.70, median=926332.80, uniques=350946
Processed 365000 numbers: avg=2587204.66, median=929048.20, uniques=351870
Processed 366000 numbers: avg=2600095.02, median=929346.00, uniques=352800
Processed 367000 numbers: avg=2602774.47, median=929620.10, uniques=353730
Processed 368000 numbers: avg=2647706.58, median=936975.00, uniques=354664
Processed 369000 numbers: avg=2648684.64, median=936975.00, uniques=355586
Processed 370000 numbers: avg=2677969.58, median=941359.30, uniques=356523
Processed 371000 numbers: avg=2680346.50, median=944245.40, uniques=357454
Processed 372000 numbers: avg=2689403.65, median=944245.40, uniques=358376
Processed 373000 numbers: avg=2692475.35, median=947702.80, uniques=359304
Processed 374000 numbers: avg=2697283.94, median=950802.60, uniques=360235
Processed 375000 numbers: avg=2700352.57, median=953104.60, uniques=361158
Processed 376000 numbers: avg=2703518.72, median=954012.60, uniques=362076
Processed 377000 numbers: avg=2704019.74, median=954012.60, uniques=363006
Processed 378000 numbers: avg=2704590.55, median=954012.60, uniques=363933
Processed 379000 numbers: avg=2709565.36, median=961442.80, uniques=364866
Processed 380000 numbers: avg=2713411.57, median=961442.80, uniques=365796
Processed 381000 numbers: avg=2724709.65, median=964940.40, uniques=366724
Processed 382000 numbers: avg=2798050.34, median=975835.90, uniques=367655
Processed 383000 numbers: avg=2800545.26, median=976967.60, uniques=368599
Processed 384000 numbers: avg=2803564.60, median=978370.60, uniques=369530
Processed 385000 numbers: avg=2808743.24, median=979064.40, uniques=370451
Processed 386000 numbers: avg=2811376.47, median=979064.40, uniques=371392
Processed 387000 numbers: avg=2819416.05, median=981770.10, uniques=372307
Processed 388000 numbers: avg=2821111.13, median=985352.10, uniques=373227
Processed 389000 numbers: avg=2828345.30, median=989030.00, uniques=374155
Processed 390000 numbers: avg=2829445.02, median=990829.00, uniques=375084
Processed 391000 numbers: avg=2832391.69, median=994554.60, uniques=375999
Processed 392000 numbers: avg=2835161.22, median=998086.00, uniques=376921
Processed 393000 numbers: avg=2853851.55, median=998086.00, uniques=377838
Processed 394000 numbers: avg=2919464.17, median=1004602.50, uniques=378761
Processed 395000 numbers: avg=2922327.15, median=1005964.80, uniques=379672
Processed 396000 numbers: avg=2927112.41, median=1007034.40, uniques=380584
Processed 397000 numbers: avg=2930105.80, median=1007034.40, uniques=381493
Processed 398000 numbers: avg=2931412.93, median=1007034.40, uniques=382419
Processed 399000 numbers: avg=2936462.73, median=1009128.40, uniques=383344
Processed 400000 numbers: avg=2938375.85, median=1009128.40, uniques=384263
Processed 401000 numbers: avg=2941601.93, median=1009128.40, uniques=385174
Processed 402000 numbers: avg=2952496.15, median=1009128.40, uniques=386105
Processed 403000 numbers: avg=2959472.68, median=1030024.40, uniques=387038
Processed 404000 numbers: avg=2962437.12, median=1030024.40, uniques=387950
Processed 405000 numbers: avg=2963449.29, median=1038116.80, uniques=388867
Processed 406000 numbers: avg=2964015.96, median=1038116.80, uniques=389776
Processed 407000 numbers: avg=2966018.61, median=1041208.80, uniques=390694
Processed 408000 numbers: avg=2968599.06, median=1044755.90, uniques=391614
Processed 409000 numbers: avg=2971918.63, median=1056384.00, uniques=392538
Processed 410000 numbers: avg=3004940.55, median=1067453.10, uniques=393463
Processed 411000 numbers: avg=3007654.47, median=1069723.30, uniques=394382
Processed 412000 numbers: avg=3008083.76, median=1069723.30, uniques=395302
Processed 413000 numbers: avg=3020015.55, median=1072030.20, uniques=396221
Processed 414000 numbers: avg=3022858.35, median=1073251.60, uniques=397146
